,STATION,DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPressureChange,HourlyRelativeHumidity,HourlyStationPressure,HourlyWindSpeed,cloud cover percentage,is_fire
72,72286903171,20200730125300,100.0,0.0,0.05,15.0,29.02,7.0,0.0,True
73,72286903171,20170613125300,86.0,0.0,0.06,20.0,28.99,5.0,0.0,True
74,72286903171,20180614125300,91.0,0.0,0.04,22.0,28.94,7.0,0.0,True
75,72286903171,20190930125300,73.0,0.0,0.07,34.0,28.96,3.0,0.0,True
76,72286903171,20210501125300,84.0,0.0,0.06,30.0,29.0,14.0,0.0,False
77,72286903171,20221014121400,69.0,0.0,0.0,73.0,28.95,5.0,1.0,False
78,72286903171,20190825125300,96.0,0.0,0.05,26.0,29.04,9.0,0.0,True
79,72286903171,20180422125300,88.0,0.0,0.04,18.0,29.0,15.0,0.0,True
80,72286903171,20180723125300,103.0,0.0,0.06,22.0,29.0,14.0,0.25,True
81,72286903171,20220818125300,95.0,0.0,0.05,21.0,28.99,6.0,0.0,False
82,72286903171,20200731125300,106.0,0.0,0.03,11.0,29.01,8.0,0.0,True
83,72286903171,20190921125300,93.0,0.0,0.08,13.0,28.94,6.0,0.0,True
84,72286903171,20210504125300,90.0,0.0,0.05,24.0,29.0,7.0,0.0,True
85,72286903171,20201128125300,73.0,0.0,0.09,8.0,29.23,9.0,0.0,False
86,72286903171,20160704125300,87.0,0.0,0.05,34.0,29.1,10.0,0.0,False
87,72286903171,20181120125300,72.0,0.0,0.06,19.0,29.1,6.0,0.0,False
88,72286903171,20180719125300,96.0,0.0,0.06,36.0,29.01,13.0,0.25,True
89,72286903171,20221124125300,74.0,0.0,0.06,9.0,29.29,15.0,0.0,False
90,72286903171,20190919125300,82.0,0.0,0.07,38.0,28.95,8.0,0.25,False
91,72286903171,20160125125300,69.0,0.0,0.07,20.0,29.17,14.0,0.0,False
92,72286903171,20210915125300,88.0,0.0,0.08,24.0,28.98,6.0,0.0,False
93,72286903171,20180517125300,76.0,0.0,0.03,36.0,29.05,0.0,0.0,True
94,72286903171,20210620125300,89.0,0.0,-0.0,31.0,28.97,15.0,0.0,True
95,72286903171,20230522125300,80.0,0.0,0.04,51.0,29.01,8.0,0.0,True
96,72286903171,20221227125300,65.0,0.0,0.08,40.0,29.09,6.0,0.25,False
97,72286903171,20190912125300,98.0,0.0,0.06,16.0,29.04,9.0,0.0,True
98,72286903171,20230809125300,88.0,0.0,0.04,40.0,29.04,5.0,0.0,True
99,72286903171,20220206125300,77.0,0.0,0.07,8.0,29.23,14.0,0.0,False
100,72286903171,20220805125300,96.0,0.0,0.05,26.0,29.02,9.0,0.0,False
101,72286903171,20210619125300,92.0,0.0,0.04,33.0,28.87,14.0,0.0,True
102,72286903171,20171213125300,80.0,0.0,0.09,7.0,29.07,7.0,0.0,True
103,72286903171,20170831125300,110.0,0.0,0.06,13.0,28.83,3.0,0.5,True
104,72286903171,20211123125300,76.0,0.0,0.06,16.0,29.03,8.0,0.0,False
105,72286903171,20190513125300,74.0,0.0,0.04,54.0,29.1,6.0,0.875,False
106,72286903171,20170523125300,90.0,0.0,0.03,34.0,29.01,13.0,0.0,True
107,72286903171,20210829125300,99.0,0.0,0.05,18.0,28.87,10.0,0.0,False
108,72286903171,20170618125300,97.0,0.0,0.05,25.0,28.89,10.0,0.0,True
109,72286903171,20170412125300,77.0,0.0,0.05,32.0,29.11,10.0,0.0,False
110,72286903171,20180810125300,95.0,0.0,0.03,25.0,29.08,14.0,0.5,False
111,72286903171,20170728125300,94.0,0.0,0.03,32.0,29.0,17.0,0.0,True
112,72286903171,20200624125300,92.0,0.0,0.06,28.0,28.91,6.0,0.0,True
113,72286903171,20230705125300,92.0,0.0,0.04,18.0,29.02,5.0,0.0,True
114,72286903171,20180212125300,61.0,0.0,0.04,41.0,28.94,9.0,0.875,False
115,72286903171,20180612125300,94.0,0.0,0.04,25.0,28.91,7.0,0.0,True
116,72286903171,20201213125300,67.0,0.0,0.07,14.0,29.31,3.0,0.0,True
117,72286903171,20200509125300,83.0,0.0,0.01,37.0,29.04,13.0,0.0,False
118,72286903171,20180707121300,106.0,0.0,0.0,12.0,28.97,9.0,0.0,False
119,72286903171,20230805125300,97.0,0.0,0.04,26.0,28.97,6.0,0.0,False
120,72286903171,20230719125300,100.0,0.0,0.04,25.0,29.07,8.0,0.0,True
121,72286903171,20210615125300,103.0,0.0,0.03,16.0,0.0,10.0,0.0,True
122,72286903171,20180303125300,55.0,0.0,0.02,74.0,29.15,13.0,0.875,False
123,72286903171,20190713125300,96.0,0.0,0.02,30.0,28.96,9.0,0.0,True
124,72286903171,20210217125300,65.0,0.0,0.06,27.0,29.08,15.0,0.0,False
125,72286903171,20190627125300,85.0,0.0,0.04,37.0,29.09,8.0,0.0,True
126,72286903171,20200506125300,96.0,0.0,0.04,15.0,28.99,8.0,0.875,False
127,72286903171,20200725125300,90.0,0.0,0.05,24.0,29.0,8.0,0.0,True
128,72286903171,20180605125300,79.0,0.0,0.0,47.0,28.99,13.0,0.5,False
129,72286903171,20180428125300,75.0,0.0,0.02,36.0,29.04,9.0,0.0,True
130,72286903171,20200602125300,86.0,0.0,0.01,35.0,29.06,11.0,0.0,True
131,72286903171,20160509125300,71.0,0.0,0.03,47.0,29.07,10.0,0.875,False
132,72286903171,20170910125300,100.0,0.0,0.0,21.0,0.0,0.0,0.0,True
133,72286903171,20230713125300,98.0,0.0,0.05,15.0,29.02,13.0,0.0,True
134,72286903171,20200609125300,96.0,0.0,0.04,5.0,29.12,8.0,0.0,False
135,72286903171,20170603125300,92.0,0.0,0.03,30.0,28.96,13.0,0.0,True
136,72286903171,20170703125300,94.0,0.0,0.06,18.0,29.12,7.0,0.0,True
137,72286903171,20191031125300,74.0,0.0,0.09,4.0,29.2,14.0,0.0,True
138,72286903171,20220527125300,77.0,0.0,0.06,42.0,29.11,9.0,0.0,False
139,72286903171,20200303125300,78.0,0.0,0.04,13.0,29.03,13.0,0.0,True
140,72286903171,20230628125300,81.0,0.0,0.04,41.0,28.97,10.0,0.0,False
141,72286903171,20230801125300,94.0,0.0,0.06,36.0,29.08,10.0,0.0,True
142,72286903171,20170528125300,85.0,0.0,0.05,31.0,29.07,8.0,0.0,True
143,72286903171,20220924125300,97.0,0.0,0.06,26.0,29.08,0.0,0.0,False
144,72286903171,20171114125300,77.0,0.0,0.08,21.0,29.14,6.0,0.5,True
145,72286903171,20191210125300,66.0,0.0,0.05,40.0,29.31,3.0,0.0,False
146,72286903171,20160616125300,81.0,0.0,0.03,30.0,29.12,7.0,0.0,False
147,72286903171,20200716125300,88.0,0.0,0.05,36.0,28.99,14.0,0.0,False
148,72286903171,20210417125300,77.0,0.0,0.06,31.0,29.02,8.0,0.0,False
149,72286903171,20211216125300,55.0,0.0,0.06,45.0,29.2,9.0,0.0,False
150,72286903171,20230621125300,84.0,0.0,0.03,27.0,29.04,13.0,0.0,True
151,72286903171,20190526120400,58.0,0.0,0.0,62.0,29.07,13.0,1.0,False
152,72286903171,20220802125300,93.0,0.0,0.04,30.0,29.08,10.0,0.0,False
153,72286903171,20221223125300,68.0,0.0,0.07,35.0,29.21,5.0,0.0,False
154,72286903171,20180728125300,96.0,0.0,0.03,30.0,29.02,11.0,0.0,True
155,72286903171,20211121125300,79.0,0.0,0.06,11.0,29.2,10.0,0.0,True
156,72286903171,20220530125300,77.0,0.0,0.06,40.0,28.92,7.0,0.0,False
